20140318;2;33100;5;4
20140131;2;35300;2;1
20140214;2;33800;5;3
20140102;2;33300;5;1
20140317;2;33230;5;1
20140519;2;34260;5;1
20140519;2;33470;5;1
20140505;2;33710;5;2
20140714;2;33720;5;1
20140805;2;33270;5;2
20140718;2;33540;2;1
20140901;2;33900;5;3
20141023;2;33560;5;1
20141110;2;33850;4;1
20140512;2;33800;4;1
20140127;2;33340;5;1
20140428;2;33530;5;2
20140527;2;33500;5;1
20150217;2;33720;5;5
20150217;2;34240;5;3
20150306;2;35100;2;1
20150224;2;33820;2;1
20150302;2;38100;4;1
20150413;2;33340;5;1
20150505;2;33340;5;2
20141211;2;33680;5;1
20141211;2;33820;5;5
20150105;2;33330;5;1
20150107;2;33500;5;3
20150114;1;33900;4;1
20150716;2;33500;5;1
20150716;2;33210;4;1
20150608;2;33710;5;3
20150608;2;33800;5;1
20150811;2;33340;5;1
20150722;2;33100;5;2
20150520;2;33560;5;2
20150603;2;33540;5;1
20150518;1;33710;3;1
20150928;2;33580;5;3
20150925;2;33820;4;1
20160112;2;33840;5;2
20150526;2;33900;5;7
20150526;2;33400;5;1
20150525;2;33410;5;1
20150504;2;33210;5;3
20150909;2;33900;5;1
20150605;2;33400;5;1
20150818;2;33560;5;3
20150817;2;35300;5;1
20160114;2;33500;2;1
20151110;1;33870;4;1
20151202;2;33710;4;1
20151120;2;33340;5;2
20160203;2;33540;5;2
20160127;2;33720;5;4
20160218;1;35320;2;1
20151207;2;33900;4;1
20151023;2;33610;5;1
20151007;2;33240;5;1
20151030;2;33270;5;2
20151215;2;33400;5;1
20151211;2;33820;5;2
20160125;2;33250;5;2
20160229;1;33580;4;1
20160329;2;33850;5;1
20160420;2;33900;5;2
20160502;2;33580;5;1
20160429;2;33720;4;1
20160518;2;33560;4;1
20160504;2;33580;5;2
20160520;2;33540;5;2
20160524;2;33540;5;4
20160524;2;33560;4;1
20160517;2;35100;5;1
20160415;1;35300;4;1
20160314;2;33410;4;1
20160315;2;33850;5;1
20160226;2;33340;5;1
20160307;2;33900;5;2
20160301;2;34240;5;1
20160301;2;33240;5;1
20160321;2;33960;5;1
20160712;2;33900;5;5
20160830;2;33500;5;4
20160808;2;33580;5;2
20160819;2;33900;4;1
20160614;2;37150;5;1
20160617;2;33540;5;2
20160804;2;33180;5;1
20160705;2;33950;5;1
20160914;2;33310;5;2
20160914;2;33850;5;2
20160930;2;33850;5;2
20160929;2;33300;5;1
20160530;2;33410;5;3
20160525;2;33710;5;2
20160527;2;33530;5;1
20160531;2;33310;5;2
20160531;2;33840;5;4
20160825;2;33500;5;2
20161222;2;33100;5;2
20161107;2;33300;5;2
20161107;2;33840;4;2
20161220;2;33710;5;3
20161014;2;33540;5;2
20170109;2;33710;5;3
20161129;2;33710;5;5
20161028;2;33500;5;2
20161207;2;33820;5;2
20161111;2;33300;5;1
20161111;2;33500;5;3
20161111;2;34240;5;1
20161202;2;33900;5;2
20140303;2;33820;5;1
20140408;1;33100;2;1
20140310;2;33500;5;5
20140326;2;33530;5;1
20140129;2;33310;5;1
20140129;2;33820;5;1
20140414;2;33410;4;1
20140502;2;33700;5;1
20170104;2;33410;5;2
20170104;2;33900;5;1
20161216;2;33610;5;1
20161216;1;33270;2;1
20161116;2;33580;5;1
20161110;2;33100;5;3
20161110;1;33720;4;2
20161007;2;33410;5;1
